"trans_date_trans_time","merchant","category","amt","gender","city","state","lat","long","city_pop","job","merch_lat","merch_long","is_fraud","age"
"2019-01-15 03:57:37","fraud_Christiansen, Goyette and Schamberger","gas_transport",65.06,"0","Ashfield","massachusetts",42.5232,-72.811,1506,"Production assistant, radio",42.716611,-72.892264,0,63
"2019-07-10 10:41:29","fraud_Shields Inc","grocery_net",27.14,"0","Matawan","new jersey",40.4109,-74.238,30770,"Drilling engineer",40.033958,-74.279011,0,30
"2020-03-01 10:00:14","fraud_Yost, Block and Koepp","misc_pos",38.35,"0","West Hartford","vermont",43.7185,-72.4439,140,"Development worker, community",43.44531,-72.579841,0,34
"2020-05-13 20:25:28","fraud_Romaguera and Sons","travel",6.54,"1","Fort Washakie","wyoming",43.0048,-108.8964,1645,"Information systems manager",42.848663,-108.281875,0,38
"2019-10-04 15:07:44","fraud_Roob-Okuneva","health_fitness",38.71,"0","Mount Hope","alabama",34.4793,-87.4769,1312,"Librarian, academic",34.59427,-87.888393,0,69
"2019-07-28 17:57:12","fraud_Gulgowski LLC","home",129.74,"0","Oriskany Falls","new york",42.9576,-75.4838,1970,"Programmer, multimedia",43.728316,-75.449925,0,74
"2020-05-15 20:28:51","fraud_Skiles LLC","home",24.85,"0","Lima","ohio",40.7641,-84.0973,86954,"Copywriter, advertising",40.118184,-84.309573,0,31
"2020-03-31 18:06:26","fraud_Nitzsche, Kessler and Wolff","shopping_pos",6.99,"1","Rocky Mount","missouri",38.2911,-92.7059,1847,"Tax inspector",37.573031,-92.732297,0,35
"2019-02-07 04:32:23","fraud_Spinka-Welch","grocery_net",105.84,"1","Mountain Center","california",33.6401,-116.5567,1661,"Therapist, music",33.05097,-117.497772,0,35
"2019-05-09 18:53:53","fraud_Brown Inc","kids_pets",61.85,"0","Edmond","oklahoma",35.6665,-97.4798,116001,"Media buyer",35.963018,-98.41913,0,30
"2019-08-10 07:28:33","fraud_Lebsack and Sons","misc_net",6.79,"1","Birmingham","iowa",40.8626,-91.9534,888,"Camera operator",40.773401,-91.202901,0,35
"2019-12-01 12:30:04","fraud_Mayert Group","shopping_pos",9.04,"1","Wheaton","missouri",36.7651,-94.0492,760,"Production manager",37.378002,-94.421836,0,38
"2020-06-02 23:04:22","fraud_Gerhold LLC","home",54.25,"1","Ash Flat","arkansas",36.2201,-91.6421,2856,"Hydrologist",35.815818,-91.566939,0,97
"2020-03-01 15:46:13","fraud_Douglas, DuBuque and McKenzie","travel",9.54,"1","Sherman","texas",33.6372,-96.6184,46563,"Systems developer",33.68149,-97.354584,0,53
"2020-03-27 22:41:23","fraud_Lubowitz-Walter","kids_pets",54.74,"0","Lonsdale","minnesota",44.4477,-93.4252,5211,"Chief Strategy Officer",43.636297,-92.451273,0,37
"2019-05-18 17:17:53","fraud_Cole, Hills and Jewess","home",24.43,"0","Edmond","oklahoma",35.6665,-97.4798,116001,"Media buyer",35.260593,-98.003298,0,30
"2019-04-11 16:57:36","fraud_Lemke-Gutmann","shopping_net",2.43,"1","Breesport","new york",42.1939,-76.7361,520,"Psychotherapist",41.607258,-76.541757,0,32
"2020-05-24 16:52:05","fraud_Schoen Ltd","kids_pets",50.98,"0","Bristow","indiana",38.1981,-86.6821,965,"Horticultural therapist",38.339552,-86.221705,0,42
"2019-07-18 13:17:12","fraud_Deckow-Dare","food_dining",9.27,"0","Sauk Rapids","minnesota",45.604,-94.1591,16163,"Hydrographic surveyor",44.807994,-93.996073,0,37
"2019-05-20 22:26:12","fraud_Quitzon-Goyette","home",14.52,"1","Hedley","texas",34.8698,-100.6806,513,"Early years teacher",35.382322,-100.476961,0,47
"2019-09-25 14:54:27","fraud_Kub PLC","personal_care",63.25,"1","Winslow","arkansas",35.8312,-94.1187,2786,"Musician",35.05507,-93.730249,0,58
"2020-01-13 07:08:42","fraud_Heidenreich PLC","grocery_pos",63.61,"0","Johns Island","south carolina",32.8357,-79.8217,20478,"Materials engineer",33.07302,-79.902729,0,26
"2020-02-15 12:09:18","fraud_Bode-Schuster","kids_pets",42.92,"1","Lowville","new york",43.7893,-75.4156,8830,"Theme park manager",44.07447,-74.595636,0,32
"2019-04-25 02:55:31","fraud_Auer-Mosciski","grocery_pos",198.84,"1","Grover","north carolina",35.1836,-81.4552,5621,"Toxicologist",36.068743,-80.866197,0,50
"2020-01-03 17:39:13","fraud_Hammes-Beatty","kids_pets",127.13,"1","East Canaan","connecticut",42.0158,-73.2913,647,"Comptroller",42.322961,-73.673876,0,36
"2019-09-25 17:01:07","fraud_Klocko, Runolfsdottir and Breitenberg","health_fitness",87.66,"1","Bridgeport","new jersey",39.8016,-75.3478,504,"Engineer, control and instrumentation",40.666526,-75.230323,0,43
"2020-04-28 18:19:38","fraud_White and Sons","home",36.56,"0","Cecilton","maryland",39.4015,-75.8654,663,"Podiatrist",39.386933,-76.687719,0,55
"2019-12-11 18:55:16","fraud_Eichmann-Kilback","home",5.83,"0","Mc Nabb","illinois",41.173,-89.2187,532,"Audiological scientist",40.452912,-90.130011,0,68
